user_id,activity_date,match_type,finish_position,bots,n_matches
2914,2023-12-04,C,3,3,1
1391,2023-12-24,C,1,1,1
5446,2024-01-12,A,2,2,1
1554,2024-02-16,C,3,3,1
2713,2024-02-28,C,3,3,1
3330,2023-12-09,A,2,2,1
16433,2023-12-04,C,3,3,1
281,2024-02-15,B,2,2,1
6297,2024-02-12,A,2,2,2
1545,2023-12-06,C,1,1,2
6822,2023-12-30,C,2,2,1
6850,2024-02-25,C,,4,1
2972,2024-01-19,C,2,2,1
8395,2023-12-10,A,1,1,1
10897,2023-12-15,A,2,2,1
8404,2024-01-13,C,2,2,1
6841,2024-01-28,A,4,4,1
4083,2024-02-09,C,1,1,2
1759,2024-02-02,C,4,4,1
8432,2024-02-15,A,4,0,2
1022,2023-12-20,C,1,1,1
10897,2023-12-02,A,3,3,1
10897,2024-01-07,A,1,1,5
2713,2024-01-11,A,3,3,2
3052,2023-12-14,C,4,4,1
4761,2024-02-16,C,1,0,1
6173,2024-02-22,C,3,3,1
3875,2024-01-14,C,2,2,1
15804,2024-02-22,C,4,0,1
6510,2024-01-05,C,1,1,1
16415,2024-01-11,C,1,1,1
8582,2024-02-05,A,4,0,1
7593,2023-12-22,C,1,1,1
11181,2024-01-19,C,4,0,1
3166,2024-01-24,C,3,3,1
6822,2023-12-13,C,1,0,1
1431,2023-12-17,A,3,3,2
842,2023-12-21,A,2,2,1
3052,2023-12-31,A,1,1,1
6417,2024-01-09,B,1,1,1
11421,2024-02-19,C,3,0,1
6442,2024-02-07,C,2,0,1
1575,2024-01-10,B,1,1,1
1064,2023-12-23,C,2,0,1
3406,2023-12-06,C,2,2,1
1503,2024-02-23,C,4,4,1
8454,2023-12-18,C,4,4,1
10897,2024-02-26,C,1,0,2
8159,2023-12-29,C,1,1,1
4529,2023-12-17,C,1,1,1
10997,2023-12-02,A,1,1,1
6263,2024-01-11,A,2,2,1
5895,2023-12-21,C,,4,1
1575,2023-12-11,C,3,3,1
1393,2024-01-28,C,3,3,1
1513,2023-12-30,A,4,4,1
10897,2024-02-10,C,2,2,1
268,2023-12-11,C,4,4,2
1545,2023-12-23,A,4,4,1
11780,2024-02-11,C,4,4,1
6526,2024-02-25,A,1,0,1
5895,2023-12-12,A,3,3,1
12944,2024-01-23,C,4,4,1
6065,2024-02-07,C,4,4,1
237,2024-01-30,C,1,0,1
842,2023-12-17,A,2,2,2
2406,2024-02-16,C,1,1,1
6351,2023-12-21,A,1,1,1
2480,2024-01-10,C,3,3,1
12101,2024-01-15,A,1,0,1
12944,2024-01-02,C,1,1,1
6351,2024-01-25,A,4,4,1
233,2023-12-04,C,1,1,1
13285,2024-01-01,C,1,1,1
479,2023-12-02,A,2,2,1
14306,2023-12-08,C,4,0,1
6822,2023-12-09,B,1,1,1
2914,2023-12-27,C,1,1,2
1009,2024-02-18,B,1,1,1
6461,2024-02-29,C,4,4,1
6054,2023-12-09,C,3,0,1
3166,2024-02-01,C,3,3,1
985,2023-12-24,C,,4,1
11150,2023-12-04,C,1,1,1
11427,2024-02-14,C,,4,1
864,2024-01-25,C,1,0,1
6065,2023-12-04,B,1,1,1
