,user_id,platform,activity_date,acquisition_date
1154,3684,ios,2024-03-01,2024-01-08
1155,3716,android,2024-01-02,2024-01-01
1160,3735,android,2024-02-29,2024-01-28
1161,3742,android,2024-01-23,2024-01-05
1162,3746,android,2024-01-25,2024-01-25
1163,3773,android,2024-01-25,2024-01-19
1171,3792,android,2024-02-28,2024-01-05
1173,3795,android,2024-01-08,2024-01-02
1205,3877,android,2024-03-01,2024-01-02
1207,3882,android,2024-02-06,2024-01-31
1210,3886,android,2024-01-22,2024-01-20
1229,3887,android,2024-02-21,2024-01-24
1240,3892,android,2024-01-30,2024-01-05
1241,3904,android,2024-01-06,2024-01-01
1244,3905,android,2024-01-31,2024-01-08
1245,3906,android,2024-01-23,2024-01-23
1246,3924,android,2024-01-16,2024-01-16
1247,3927,android,2024-01-30,2024-01-30
1257,3937,android,2024-02-15,2024-01-20
1259,3951,android,2024-01-07,2024-01-01
1260,3952,android,2024-01-30,2024-01-30
1262,3980,android,2024-01-08,2024-01-06
1270,3996,android,2024-02-06,2024-01-20
1271,4022,android,2024-01-21,2024-01-21
1272,4031,android,2024-01-10,2024-01-10
1273,4036,android,2024-02-05,2024-01-29
1274,4093,android,2024-03-01,2024-01-24
1275,4097,android,2024-01-15,2024-01-10
1284,4111,android,2024-02-11,2024-01-18
1285,4141,ios,2024-01-20,2024-01-20
1288,4151,android,2024-01-17,2024-01-15
1301,4153,android,2024-02-27,2024-01-26
1302,4172,android,2024-01-21,2024-01-21
1303,4185,ios,2024-02-22,2024-01-31
1337,4188,android,2024-03-01,2024-01-24
1338,4194,android,2024-01-23,2024-01-23
1340,4208,android,2024-02-08,2024-01-31
1351,4226,android,2024-02-18,2024-01-04
1374,4235,ios,2024-03-01,2024-01-21
1377,4240,android,2024-01-16,2024-01-11
1386,4254,android,2024-02-29,2024-01-10
1391,4270,android,2024-02-12,2024-01-18
1392,4280,android,2024-01-14,2024-01-09
1393,4319,android,2024-01-01,2024-01-01
1402,4323,ios,2024-02-20,2024-01-16
1414,4328,android,2024-02-12,2024-01-09
1419,4343,ios,2024-02-27,2024-01-24
1421,4347,android,2024-02-23,2024-01-08
1423,4359,android,2024-01-23,2024-01-17
